organization,job_position,job_code,location,summary,roles_responsibilities,required_skills,position,years_of_experience,contract_length,work_auth,certifications,benefits,pay_rate,reward_rate
Ascension Health,RN CRCU/ICU,ASC-9046|AH-HHC-69173,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Critical Care Unit', 'Shift Timings: 19:00 - 07:30']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['ICU RN', 'RN CRCU/ICU', 'Traveler ICU RN']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health (NIH), Advanced Cardiovascular Life Support (ACLS), Ascension Crisis Prevention Intervention (CPI), Licensed Registered Nurse credentialed from the Indiana Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.47 /hr","Reward Rate:
USD
$
7.47 /hr"
Ascension Health,RN-CVICU,ASC-8043|AH-HHC-71230,onsite,"['Department: Critical Care Unit', 'Shift Timings : Early Morning 06:45 - 19:15 Hours ']","['Unit Capacity: 42', '(Medical/Surgical ICU = 28 Beds, Neuro ICU = 14 Beds)', 'Population Served: Patients with the following diagnosis Abdominal Revascularization/Pneumonia/Acute Respiratory Failure (ARDS; Pulmonary Edema; Pulmonary Embolus)/Diabetes Mellitus/Sepsis/Septic Shock/Sirs/Acute Renal Failure/Multiple Organ System Failure/Stroke/Intracranial Hemorrhage/S/P Craniotomy/CVA/Liver Failure/Hypertension/Hypotension/Pancreatitis/Post Neuroradiology Interventional Procedures']","['RN-CVICU', 'Traveler RN-CVICU']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiac Life Support (ACLS) Certification, National Institutes of Health Stroke Scale (NIHSS)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.92 /hr","Reward Rate:
USD
$
6.92 /hr"
Ascension Health,RN Step Down,ASC-9296|AH-HHC-42732,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'BLS, ACLS; EOW, EOH; at least 1 yr experience and telemetry needed; may need to float to sites within 40 miles if needed', 'Department: Stepdown Intermediate Care', 'Shift Timings: 19:00 - 07:30']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN Step Down', 'Travel RN', 'Traveler Step Down RN']",5 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health (NIH), Advanced Cardiovascular Life Support (ACLS), Licensed Registered Nurse credentialed from the Wisconsin Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,RN Step Down,ASC-9295|AH-HHC-7537,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'BLS, ACLS; EOW, EOH; at least 1 yr experience and telemetry needed; may need to float to sites within 40 miles if needed', 'Department: Stepdown Intermediate Care', 'Shift Timings: 07:00 - 19:30']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN Step Down', 'Travel RN', 'Traveler Step Down RN']",8 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health (NIH), Advanced Cardiovascular Life Support (ACLS), Licensed Registered Nurse credentialed from the Wisconsin Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,Registered Nurse Medical Surgery,ASC-8022|AH-HHC-97568,onsite,"['Department: Renal Dialysis Unit', 'Shift Timings: Early Morning 06:30 - 19:00 Hours ']","['We are looking for nurses to join our fast paced Neurology/Stroke Team.', 'Teamwork and good/clear communication is a must for this position.', 'We are looking for team members who strive to improve the quality of life for these patients and assist with improving their ability to perform ADLs.', 'We request that your clinical team interview your talent before presenting the talent to our posting.', 'Staffing Certification: Basic Life Support (BLS) Certification National Institutes of Health Stroke Scale (NIHSS) Successful completion of a proctored rhythm test']","['Traveler RN', 'Registered Nurse > Registered Nurse Nursing']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Certification National Institutes of Health Stroke Scale (NIHSS)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,RN Step Down,ASC-9215|AH-HHC-57079,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'BLS, ACLS; EOW; EOH; Telemetry Trained; Experience - Med/Surg; may need to float to sites within 40 mile radius.', 'Department: Nursing Unit', 'Shift Timings:19:00 - 07:30']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN Step Down', 'Travel RN', 'Traveler Step Down RN']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health (NIH), Advanced Cardiovascular Life Support (ACLS), Licensed Registered Nurse credentialed from the Wisconsin Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,Registered Nurse Medical Surgery,ASC-8017|AH-HHC-54966,onsite,"['Department: Medical Surgical 7E', 'Shift Timings: Late Evening Shift 18:45 - 07:15 Hours']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team""]","['Traveler RN', 'Registered Nurse > Registered Nurse Nursing']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,RN Step Down,ASC-9078|AH-HHC-20050,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', '9 week contract - EOW, EOH; 1 year experience with Med Surg; may need to float to sites within 40 miles', 'Department: Stepdown Intermediate Care', 'Shift Timings:19:00 - 07:30']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN Step Down', 'Travel RN', 'Traveler Step Down RN']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health (NIH), Advanced Cardiovascular Life Support (ACLS), Licensed Registered Nurse credentialed from the Wisconsin Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,RN Step Down,ASC-9007|AH-HHC-87941,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', '13 week contract - BLS, ACLS; EOW; EOH; Telemetry Trained; Experience - Med/Surg; may need to float to sites within 40 mile radius.', 'Department: Nursing Unit ', 'Shift Timings:19:00 - 07:30']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN Step Down', 'Travel RN', 'Traveler Step Down RN']",2 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health (NIH), Advanced Cardiovascular Life Support (ACLS), Licensed Registered Nurse credentialed from the Wisconsin Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,RN Emergency Room-SJ,ASC-6870|AH-HHC-29657,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Traveler to work every other weekend No call', 'Department: Emergency Department', 'Shift Timings: 07:00 - 19:30']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Emergency Room RN', 'RN Registered Nurse Emergency Room']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health (NIH), Advanced Cardiovascular Life Support (ACLS), Licensed Registered Nurse credentialed from the Kansas Board of Nursing required, Ascension Crisis Prevention Intervention (CPI), Trauma Nursing Core Course (TNCC)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,RN CRCU/ ICU- SF,ASC-6695|AH-HHC-35722,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Cardiothoracic ICU 001', 'Shift Timings: 19:00 - 07:30']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['ICU RN', 'RN CRCU/ICU', 'Traveler ICU RN']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health (NIH), Advanced Cardiovascular Life Support (ACLS), Licensed Registered Nurse credentialed from the Kansas Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,RN-CDU,ASC-6403|AH-HHC-80430,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Observation Unit 002', 'Shift Timings: 06:45 - 19:15']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['ICU RN', 'RN CRCU/ICU', 'Registered Nurse (RN) - Telemetry', 'Traveler ICU RN']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Licensed Registered Nurse credentialed from the Tennessee Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,RN CRCU/ICU -SF,ASC-6694|AH-HHC-29781,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Burn ICU Unit', 'Shift Timings: 19:00 - 07:30']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['ICU RN', 'RN CRCU/ICU', 'Traveler ICU RN']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health (NIH), Advanced Cardiovascular Life Support (ACLS), Licensed Registered Nurse credentialed from the Kansas Board of Nursing required, Trauma Nursing Core Course (TNCC)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,RN Cardiovascular Operating Room (CVOR),ASC-6602|AH-HHC-61838,onsite,"['Department: Surgery', 'Shift Timings: Early Morning 06:00 - 15:00 Hours ', 'Delivers professional nursing care in the operative setting to patients undergoing surgical or other invasive procedures']","['Responsibilities:', 'Performs scrub functions including the selection and handling of instruments and supplies used during procedure.', 'Performs circulating functions including monitoring, recording and communicating patient condition and managing overall nursing care of patient before, during and after procedure.', 'Directly assists operating physician with surgical tasks including hemostasis, suturing and wound exposure as well as patient positioning.', ' Prepares operating rooms and surgical instruments and equipment for use.', '', '', 'Complexity of Work:', 'Within scope of job, requires critical thinking skills, decisive judgment and the ability to work with minimal supervision.', 'Must be able to work in a stressful environment.']","['RN Cardiovascular Operating Room', 'RN Cardiovascular Operating Room (CVOR)', 'Traveler RN Cardiovascular Operating Room']",1 Available Positions,3-7 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,Registered Nurse Medical Surgery Day,ASC-6595|AH-HHC-25799,onsite,"['Department: Stepdown Intermediate Care', 'Shift Timings: Early Morning Shift 6:00 - 18:30  Hours.']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team""]","['Traveler RN', 'Registered Nurse > Registered Nurse Nursing']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS), National Institutes of Health (NIH)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
5.91 -
5.98 /hr","Reward Rate:
USD
$
5.91 -
5.98 /hr"
Ascension Health,Rn CRCU/ICU SF,ASC-6448|AH-HHC-41557,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Cardiothoracic ICU 001', 'Shift Timings: 07:00 - 19:30']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['ICU RN', 'RN CRCU/ICU', 'Traveler ICU RN']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health (NIH), Advanced Cardiovascular Life Support (ACLS), Licensed Registered Nurse credentialed from the Kansas Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,Registered Nurse Medical/Surgical,ASC-7963|AH-HHC-8595,onsite,"['Department: Neurology Unit ', 'Shift Timings: Early Morning 06:45 - 19:15 Hours']","['Unit Capacity: 38 Beds', 'Population Served: Strokes, Neurological disorders, Brain injuries, Brain Tumors, Spine Injuries, Brain and Spine Surgeries, Seizures, Epilepsy, 3 EMU rooms (Epilepsy Monitoring Unit) AMS, Dementia, Neuropsychology/Behavioral Health, Med-surg', 'Ages of Patients Served', 'Young Adult through Late Adult (18 - 60+)', 'Nurse to Patient Ratios: 1:6']","['Medical Surgical Registered Nurse', 'RN Medical / Surgical', 'Traveler Registered Nurse Medical / Surgical']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health (NIH)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,RN CRCU/ICU-SF,ASC-6654|AH-HHC-4199,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Neuro Trauma ICU 001', 'Shift Timings: 19:00 - 07:30']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['ICU RN', 'RN CRCU/ICU', 'Traveler ICU RN']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health (NIH), Advanced Cardiovascular Life Support (ACLS), Licensed Registered Nurse credentialed from the Kansas Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.78 /hr","Reward Rate:
USD
$
7.78 /hr"
Ascension Health,RN- ICU,ASC-6393|AH-HHC-26203,onsite,"['Filling open needs for this fast-paced, high acuity MICU. We provide care to some of the most critically ill patients in the Nashville area and frequently receive patients needing our care from all corners of Tennessee and beyond. We serve patients with a wide-variety of diagnoses as well as Kidney transplant recovery. Throughout the COVID-19 pandemic, our team has also been called on to provide ICU-level care for patients suffering from COVID-19 infection.', 'Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Intensive Care Unit 001', 'Shift Timings: 18:45 - 07:15']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['ICU RN', 'RN CRCU/ICU', 'Traveler ICU RN']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health (NIH), Advanced Cardiovascular Life Support (ACLS), Licensed Registered Nurse credentialed from the Tennessee Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.92 /hr","Reward Rate:
USD
$
6.92 /hr"
Ascension Health,RN ICU/CCU,ASC-6312|AH-HHC-96781,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Cardiac ICU 002', 'Shift Timings: 07:00 - 19:30']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['ICU RN', 'RN CRCU/ICU', 'Traveler ICU RN']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health (NIH), Advanced Cardiovascular Life Support (ACLS), Licensed Registered Nurse credentialed from the Illinois Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.47 /hr","Reward Rate:
USD
$
7.47 /hr"
Ascension Health,RN CRCU/ICU,ASC-6289|AH-HHC-50456,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Neuro Trauma ICU', 'Shift Timings: 19:00 - 07:30']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['ICU RN', 'RN CRCU/ICU', 'Traveler ICU RN']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health (NIH), Trauma Nursing Core Course (TNCC), Ascension Crisis Prevention and Intervention (CPI), Licensed Registered Nurse credentialed from the Kansas Board of Nursing required, Advanced Cardiovascular Life Support (ACLS)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,Registered Nurse Medical/Surgical,ASC-7943|AH-HHC-43994,onsite,"['Department: Observation Unit  ', 'Shift Timings: Late Evening 18:45 - 07:15 Hours ']","['Unit Capacity: 38 Beds', 'Population Served: Strokes, Neurological disorders, Brain injuries, Brain Tumors, Spine Injuries, Brain and Spine Surgeries, Seizures, Epilepsy, 3 EMU rooms (Epilepsy Monitoring Unit) AMS, Dementia, Neuropsychology/Behavioral Health, Med-surg', 'Ages of Patients Served', 'Young Adult through Late Adult (18 - 60+)', 'Nurse to Patient Ratios: 1:6']","['Medical Surgical Registered Nurse', 'RN Medical / Surgical', 'Traveler Registered Nurse Medical / Surgical']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health Stroke Scale (NIHSS)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,Registered Nurse PCU Cardiac Surgery,ASC-7597|AH-HHC-52815,onsite,"['Department: Telemetry 4D ', 'Shift Timings: Late Evening Shift 18:45 - 07:15 Hours']","['Unit Capacity: 24 Beds', 'Population Served: Pre and Post Cardiac Surgery, Acute Coronary Syndrome, heart failure, cardiomyopathy, unstable arrhythmias and other related cardiac disorders.', 'Ages of Patients Served: Young Adult through Late Adult (18 - 60+)', 'Nurse to Patient Ratios: 5:1']","['PCU Cardiac Surgery', 'Registered Nurse PCU Cardiac Surgery', 'Traveler PCU Cardiac Surgery']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,Registered Nurse Medical/Surgical,ASC-7596|AH-HHC-48258,onsite,"['Department: 6 Stringfield Neuro Medicine ', 'Shift Timings: Early Morning Shift 06:30 - 19:00 Hours ']","['Unit Capacity: 30 Beds', 'Population Served: Designated Stroke Unit', 'Population is primarily stroke patients.', 'Also has some general medical surgical patients that are mixed in to compensate for times where there is a lower stroke volume.', 'Ages of Patients Served', 'Young Adult through Late Adult (18 - 60+)', 'Nurse to Patient Ratios: 1:6']","['Medical Surgical Registered Nurse', 'RN Medical / Surgical', 'Traveler Registered Nurse Medical / Surgical']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health Stroke Scale (NIHSS)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,RN Medical/ Surgical- SF,ASC-6681|AH-HHC-82838,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Cardiovascular Unit 003', 'Shift timings: 19:00 - 07:30']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Travel Registered Nurse']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), Licensed Registered Nurse credentialed from the Kansas Board of Nursing required, Ascension Crisis Prevention and Intervention (CPI)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.22 /hr","Reward Rate:
USD
$
6.22 /hr"
Ascension Health,Registered Nurse PCU Cardiac Surgery,ASC-7555|AH-HHC-99799,onsite,"['Department: Telemetry 4D ', 'Shift Timings: Late Evening Shift 18:45 - 07:15 Hours']","['Unit Capacity: 24 Beds', 'Population Served: Pre and Post Cardiac Surgery, Acute Coronary Syndrome, heart failure, cardiomyopathy, unstable arrhythmias and other related cardiac disorders.', 'Ages of Patients Served: Young Adult through Late Adult (18 - 60+)', 'Nurse to Patient Ratios: 5:1']","['PCU Cardiac Surgery', 'Registered Nurse PCU Cardiac Surgery', 'Traveler PCU Cardiac Surgery']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS), Patient Care Technician Certification, Licensed Practical Nurse (LPN) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,RN Medical/Surgical,ASC-6944|AH-HHC-23469,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Renal Dialysis Unit', 'Shift timings: 18:30 - 07:00']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Travel Registered Nurse']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), Ascension Crisis Preventions and Intervention (CPI), Licensed Registered Nurse credentialed from the Tennessee Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,Registered Nurse Medical/Surgical,ASC-7537|AH-HHC-52391,onsite,"['Department: Neurology Unit', 'Shift Timings: Early Morning Shift 06:45 - 19:15 Hours ']","['Unit Capacity: 38 Beds', 'Population Served: Strokes, Neurological disorders, Brain injuries, Brain Tumors, Spine Injuries, Brain and Spine Surgeries, Seizures, Epilepsy, 3 EMU rooms (Epilepsy Monitoring Unit) AMS, Dementia, Neuropsychology/Behavioral Health, Med-surg', 'Ages of Patients Served', 'Young Adult through Late Adult (18 - 60+)', 'Nurse to Patient Ratios: 1:6']","['Medical Surgical Registered Nurse', 'RN Medical / Surgical', 'Traveler Registered Nurse Medical / Surgical']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS), National Institutes of Health (NIH)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,Registered Nurse Medical/Surgical,ASC-7495|AH-HHC-87770,onsite,"['Department: Neurology Unit', 'Shift Timings: Early Morning shift  06:45 - 19:15 Hours ']","['Unit Capacity: 38 Beds', 'Population Served: Strokes, Neurological disorders, Brain injuries, Brain Tumors, Spine Injuries, Brain and Spine Surgeries, Seizures, Epilepsy, 3 EMU rooms (Epilepsy Monitoring Unit) AMS, Dementia, Neuropsychology/Behavioral Health, Med-surg', 'Ages of Patients Served', 'Young Adult through Late Adult (18 - 60+)', 'Nurse to Patient Ratios: 1:6']","['Medical Surgical Registered Nurse', 'RN Medical / Surgical', 'Traveler Registered Nurse Medical / Surgical']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS), National Institutes of Health (NIH)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
